,Owner_entity,COUNT(*)
121,"Priester Daensfonds, Oth",1
122,"Katholieke Jeugdraad, Brussel, Oth",1
123,"Landsbond Der Christelijke Mutualiteiten., Othlandsbond Der Christelijke Mutualiteiten. Infocentrum Gvo, Oth",1
124,"Centres De PrÃ©paration Au Mariage De Belgique Francophone, Oth",1
125,"Minderbroeders Conventuelen, Oth",1
126,"Jeugd En Gezondheid, Othcm, Christelijke Mutualiteiten, Oth",1
127,"Vikariaat Voor Buitenlandse Studenten, Oth",1
128,"Mechelen-brussel, Aartsbisdom. Centrum Voor Evangelizatie, Othmechelen-brussel, Aartsbisdom. Diocesane Dienst Voor De Missiepastoraal, Othmechelen-brussel. Pauselijke Missiewerken, Oth",1
129,"Franciscusgemeenschap Ieper, Oth",1
130,"Minderbroeders, Oth",1
131,"Verbond Van Kristelijke Mutualiteiten Van Limburg, Hasselt, Oth",1
132,"Milac. Brabant, Oth",1
133,"Sago, Oth",1
134,"Christen Forum. Stuurgroep, Oth",1
135,"Acv. Turkse Sectie, Oth",1
136,"Mariale Priesterbeweging, Othminderbroeders, Oth",1
137,"Nationaal Scoutsarchief, Oth",1
138,"Bovijnfonds : Bonen Voor Bohnen, Oth",1
139,"Ksa-vksj, Brussel, Oth",1
140,"Ksa-vksj. Brabant, Oth",1
141,"Jebron-jeugdpastoraal Aalst, Oth",1
142,"Cvp-jongeren. Merksem, Oth",1
143,"Vksj-ksa. Limburg, Oth",1
144,"Christelijke Vrouwen Uit De Middengroepen (cmbv), Othmarkant, Oth",1
145,"Zusters Franciscanessen, Oth",1
146,"Kleine Zusters Van Jezus, Oth",1
147,"Ncmv. Hasselt, Oth",1
148,"Centrum Ontwikkelingssamenwerking Kortrijk Kontinenten, Oth",1
149,"Prelatuur Van Het Opus Dei In BelgiÃ«, Oth",1
150,"Katholiek Bekeringswerk, Oth",1
151,"De Vrienden Van A.K. Emmerick En Rosalie Put, Oth",1
152,"Eigentijdse Jeugd, Oth",1
153,"Colombia-vrienden, Oth",1
154,"Provinciale Dienst Voor De Jeugd Brabant, Clb",1
155,"Kvg. Werkgroep Vorming En Aktie, Oth",1
156,"Caritas Confederatie Van Instellingen., Oth",1
157,"Welzijnszorg-broederlijk Delen. Animatiedienst, Oth",1
158,"Nationale Beroepsvereniging Van Meubelhandelaars (navem), Oth",1
159,"SteuncomitÃ© Claes, Oth",1
160,"Jeugddienst Voor Het Bisdom Antwerpen, Oth",1
161,"Cvp Deurne, Oth",1
162,"Ecclesiola, Oth",1
163,"Vksj-west, Oth",1
164,"Vkm. Limburg. Ziekenzorg, Oth",1
165,"Gilde Van O.L. Vrouwe Lof, Oth",1
166,"Vkz. Kortrijk, Oth",1
167,"Vooc., Othnvoc, Oth",1
168,"Ncmv, Oth",1
169,"Priesterbroederschap St.-pius X, Oth",1
170,"Vvkm., Othvvks., Oth",1
